Run,Purity,MIDS,TotalReads(M),lpWGSReads(M),TargetPanelReads(M),%ReadslpWGS,%ReadsPanel,1000x,500x,200x,100x,50x,25x,DupFrac,LowCovRegions,PurityPloidyRatio,ResNoise,SignalNoiseRatio,%VariantFraction,QAStatus_High,QAStatus_Low,QAStatus_Medium,Gene_BRCA1,Gene_BRCA2,Gene_RAD51D,Gene_Unlisted
1,20.0,2,7.3,5.9,1.4,81.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,67.0,769,0.0,0.13,2.95,0.0,0,0,1,0,0,0,1
1,30.0,3,7.3,5.6,1.7,76.0,24.0,2.0,2.0,2.0,2.0,2.0,2.0,68.0,580,0.2,0.11,2.91,0.0,1,0,0,0,0,0,1
1,20.0,4,9.6,6.1,3.5,64.0,36.0,41.0,41.0,41.0,41.0,41.0,41.0,58.0,7,0.15,0.1,1.64,0.0,1,0,0,0,0,0,1
1,20.0,6,8.9,5.6,3.3,63.0,37.0,16.0,16.0,16.0,16.0,16.0,16.0,71.0,33,0.17,0.09,3.49,0.0,1,0,0,0,0,0,1
1,60.0,7,8.6,5.0,3.6,58.0,42.0,2.0,2.0,2.0,2.0,2.0,2.0,81.0,15,0.2,0.11,2.18,0.0,1,0,0,0,0,0,1
1,60.0,8,9.6,5.2,4.4,54.0,46.0,2.0,2.0,2.0,2.0,2.0,2.0,84.0,11,0.35,0.13,1.55,0.0,1,0,0,0,0,0,1
1,50.0,11,7.9,7.1,0.8,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,501,0.0,0.11,1.31,0.0,0,0,1,0,0,0,1
1,50.0,12,7.5,6.6,0.9,89.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,495,0.0,0.14,1.96,42.6,0,0,1,0,1,0,0
1,90.0,14,7.5,6.3,1.2,84.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,379,0.25,0.1,3.03,0.0,1,0,0,0,0,0,1
1,60.0,15,7.6,6.4,1.2,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,422,0.25,0.11,3.24,0.0,1,0,0,0,0,0,1
1,70.0,19,8.4,8.2,0.2,98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,448,0.0,0.14,1.43,0.0,0,0,1,0,0,0,1
2,40.0,2,17.6,12.6,5.0,72.0,28.0,9.0,9.0,9.0,9.0,9.0,9.0,79.0,10,0.0,0.14,1.66,0.0,0,0,1,0,0,0,1
2,60.0,4,19.9,13.5,6.4,68.0,32.0,35.0,35.0,35.0,35.0,35.0,35.0,77.0,3,0.45,0.07,3.15,0.0,1,0,0,0,0,0,1
2,70.0,5,17.4,12.1,5.3,69.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,89.0,90,0.0,0.12,2.62,0.0,0,0,1,0,0,0,1
2,60.0,6,16.6,12.2,4.4,74.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,599,0.23,0.15,2.13,0.0,1,0,0,0,0,0,1
2,40.0,7,16.6,11.5,5.1,69.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,92.0,526,0.23,0.08,3.04,0.0,1,0,0,0,0,0,1
2,30.0,10,19.2,13.7,5.5,72.0,29.0,3.0,3.0,3.0,3.0,3.0,3.0,84.0,13,0.0,0.12,1.1,0.0,0,0,1,0,0,0,1
2,70.0,11,22.0,14.5,7.5,66.0,34.0,44.0,44.0,44.0,44.0,44.0,44.0,82.0,0,0.33,0.14,3.14,0.0,1,0,0,0,0,0,1
2,60.0,12,20.1,13.6,6.5,68.0,32.0,41.0,41.0,41.0,41.0,41.0,41.0,77.0,2,0.25,0.1,2.6,0.0,1,0,0,0,0,0,1
2,70.0,13,15.0,10.9,4.1,73.0,28.0,2.0,2.0,2.0,2.0,2.0,2.0,79.0,86,0.0,0.14,1.84,78.1,0,0,1,1,0,0,0
2,60.0,14,19.8,15.0,4.8,76.0,25.0,8.0,8.0,8.0,8.0,8.0,8.0,79.0,30,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1
2,70.0,16,20.3,14.8,5.5,73.0,28.0,42.0,42.0,42.0,42.0,42.0,42.0,72.0,3,0.45,0.08,3.35,0.0,1,0,0,0,0,0,1
2,50.0,18,17.9,12.6,5.3,70.0,30.0,2.0,2.0,2.0,2.0,2.0,2.0,89.0,68,0.0,0.11,2.82,78.5,0,0,1,0,1,0,0
2,70.0,22,19.6,13.4,6.2,68.0,32.0,13.0,13.0,13.0,13.0,13.0,13.0,82.0,1,0.45,0.11,2.66,0.0,1,0,0,0,0,0,1
