Sample,25x,50x,100x,200x,500x,1000x,Cov_10%_qtile,Cov Het
200087884-514-S1,100.00%,99.99%,99.97%,99.83%,92.11%,35.70%,525×,0.11%
200087885-516-S10,100.00%,100.00%,100.00%,100.00%,99.90%,93.15%,"1,110×",0.02%
200087886-508-S11,100.00%,99.98%,99.77%,97.12%,37.44%,0.32%,264×,0.16%
200087887-524-S12,100.00%,100.00%,99.96%,99.84%,91.22%,45.23%,516×,0.14%
200087888-506-S13,100.00%,100.00%,100.00%,99.85%,90.25%,20.76%,503×,0.05%
200087889-525-S14,100.00%,100.00%,100.00%,100.00%,99.72%,92.34%,"1,043×",0.00%
200087890-526-S15,100.00%,100.00%,100.00%,100.00%,99.64%,89.81%,997×,0.00%
200087891-521-S16,100.00%,100.00%,100.00%,100.00%,98.80%,44.22%,661×,0.00%
200087892-522-S17,100.00%,100.00%,100.00%,100.00%,99.47%,81.30%,855×,0.12%
200087893-517-S18,100.00%,100.00%,100.00%,100.00%,99.75%,92.73%,"1,069×",0.00%
200087894-528-S19,100.00%,100.00%,100.00%,100.00%,99.39%,72.84%,860×,0.00%
200087895-523-S2,100.00%,100.00%,100.00%,99.99%,98.59%,77.44%,753×,0.11%
200087896-509-S20,98.86%,91.51%,67.86%,23.76%,0.55%,0.00%,55×,1.66%
200087897-505-S21,100.00%,100.00%,100.00%,100.00%,99.89%,87.54%,969×,0.00%
200087898-520-S22,100.00%,100.00%,100.00%,99.87%,78.09%,27.63%,421×,0.00%
200087899-512-S23,99.90%,99.78%,98.76%,83.21%,5.46%,0.00%,173×,0.31%
200087900-513-S24,100.00%,100.00%,100.00%,100.00%,99.99%,97.99%,"1,344×",0.00%
200087901-510-S3,100.00%,100.00%,100.00%,100.00%,99.43%,90.93%,"1,029×",0.10%
200086943-440-S1,100.00%,100.00%,100.00%,100.00%,99.99%,99.31%,"1,451×",0.00%
200086944-450-S10,100.00%,100.00%,100.00%,99.99%,99.64%,85.75%,866×,0.24%
200086945-447-S11,100.00%,100.00%,100.00%,100.00%,99.93%,95.38%,"1,124×",0.00%
200086946-456-S12,100.00%,100.00%,100.00%,99.97%,97.98%,56.23%,695×,0.49%
200086947-443-S13,99.99%,99.96%,99.90%,99.69%,90.96%,25.79%,513×,0.20%
200086948-441-S14,100.00%,100.00%,100.00%,99.92%,97.04%,47.70%,619×,0.07%
200086949-455-S15,100.00%,99.97%,99.89%,99.56%,84.75%,2.03%,460×,0.18%
200086950-446-S16,100.00%,100.00%,99.98%,99.92%,99.49%,88.73%,975×,0.14%
200086951-437-S17,100.00%,100.00%,100.00%,99.97%,94.10%,75.39%,596×,0.27%
200086952-434-S18,100.00%,100.00%,100.00%,100.00%,99.73%,92.16%,"1,081×",0.07%
200086953-451-S19,100.00%,100.00%,100.00%,99.91%,87.51%,20.76%,479×,0.01%
200086954-442-S2,99.99%,99.96%,99.87%,99.50%,74.74%,7.44%,391×,0.16%
200086955-452-S20,100.00%,100.00%,100.00%,99.99%,99.81%,94.59%,"1,135×",0.04%
200086956-448-S21,100.00%,100.00%,100.00%,100.00%,95.84%,36.37%,590×,0.40%
200086957-454-S22,100.00%,100.00%,100.00%,100.00%,99.81%,94.11%,"1,117×",0.04%
200086958-453-S23,100.00%,100.00%,100.00%,100.00%,99.98%,95.83%,"1,221×",0.00%
200086959-457-S24,100.00%,100.00%,100.00%,100.00%,99.99%,98.38%,"1,430×",0.00%
200086960-438-S3,100.00%,100.00%,100.00%,100.00%,99.99%,96.11%,"1,226×",0.00%
200086428-424-S1,100.00%,100.00%,100.00%,99.96%,99.18%,89.98%,"1,000×",0.28%
200086429-427-S10,100.00%,100.00%,100.00%,100.00%,99.67%,93.05%,"1,082×",0.01%
200086430-416-S11,100.00%,100.00%,100.00%,100.00%,99.83%,86.81%,926×,0.01%
200086431-422-S12,100.00%,100.00%,100.00%,99.99%,99.54%,88.36%,970×,0.04%
200086432-429-S13,100.00%,100.00%,100.00%,99.99%,95.28%,48.86%,643×,0.01%
200086433-415-S14,100.00%,100.00%,100.00%,100.00%,99.57%,89.27%,967×,0.00%
200086434-431-S15,100.00%,100.00%,99.99%,99.93%,96.46%,52.30%,645×,0.07%
200086435-412-S16,100.00%,100.00%,100.00%,100.00%,99.79%,89.88%,998×,0.05%
200086436-432-S17,99.97%,99.83%,97.54%,56.50%,6.77%,0.00%,135×,0.11%
200086437-423-S18,100.00%,100.00%,100.00%,100.00%,99.92%,97.74%,"1,339×",0.00%
