Sample,GI_index,QA_status,GI_status,Total(M),WGS(M),%WGS,%CovOut,PPR,RN,SNR,QAStatus,Run,LCR,25x,50x,100x,200x,500x,1000x,Cov_10%_qtile,Cov Het,Duplicate Fraction
200085906-407-S10,8.8,Medium,Positive,22.1,14.2,64.4%,0.0%,-,0.08,4.08,Medium,HRD_Run1,0,100.00%,100.00%,100.00%,99.99%,98.55%,90.75%,"1,039×",0.48%,64.81%
200085907-387-S11,9.2,Medium,Positive,21.8,18.7,85.9%,0.0%,-,0.08,1.34,Medium,HRD_Run1,5,100.00%,100.00%,99.90%,99.55%,90.49%,15.63%,506×,0.26%,52.7%
200085909-404-S13,0.8,High,Positive,22.5,16.5,73.1%,0.0%,0.28,0.07,4.64,High,HRD_Run1,0,100.00%,100.00%,100.00%,100.00%,99.53%,93.41%,"1,099×",0.11%,52.37%
200085910-394-S14,10.2,High,Positive,21.0,16.9,80.3%,0.1%,0.2,0.08,4.67,High,HRD_Run1,0,100.00%,100.00%,100.00%,99.82%,90.49%,12.43%,505×,0.07%,73.24%
200085911-388-S15,4.7,High,Positive,17.0,13.1,77.1%,0.1%,0.45,0.1,3.64,High,HRD_Run1,1,100.00%,100.00%,99.99%,99.64%,92.31%,52.77%,534×,0.40%,60.48%
200085912-396-S16,13.4,High,Positive,22.3,16.5,74.0%,0.0%,0.18,0.06,3.27,High,HRD_Run1,0,100.00%,100.00%,100.00%,99.95%,99.25%,95.54%,"1,172×",0.38%,51.09%
200085913-392-S17,4.0,High,Positive,21.9,17.4,79.3%,0.0%,0.4,0.07,5.13,High,HRD_Run1,0,100.00%,100.00%,100.00%,99.98%,98.61%,78.26%,827×,0.31%,51.59%
200085914-403-S18,-2.5,High,Negative,20.6,15.5,75.0%,0.1%,0.1,0.06,1.18,High,HRD_Run1,0,100.00%,100.00%,100.00%,100.00%,99.41%,94.02%,"1,120×",0.19%,48.72%
200085915-389-S19,-,Medium,Inconclusive,17.4,10.9,62.9%,0.0%,-,0.09,0.36,Medium,HRD_Run1,0,100.00%,100.00%,100.00%,99.95%,98.92%,90.91%,"1,022×",0.21%,68.18%
200085916-399-S2,-13.1,High,Negative,21.0,13.8,66.0%,0.0%,0.18,0.07,0.78,High,HRD_Run1,0,100.00%,100.00%,100.00%,99.85%,97.72%,69.28%,725×,0.29%,81.23%
